slug,templated,original,min,max,statePriority,priority,data.type,category,card.container,card.chart,cardTitle,is.on.demographics,is.on.city.county,question.chart,cardViewMoreInfo,questionViewMoreInfo,popoverText,questionViewTitle,HEPASpecialReport.chart,HEPASpecialReport.container,STEMNewsRelease.chart,STEMNewsRelease.container,meta.original
p_of_children_in_programs_2014,10.2 million children are in an afterschool program (2014),% of children in afterschool programs-2014,8.1,35.1,1,1,percent,demand,children_in_afterschool,p_of_children_in_programs_,,yes,yes,p_of_children_in_programs_,,"Participation in afterschool programs has steadily increased over the past decade. In 2014, 10.2 million children are in afterschool programs, up from 8.4 million in 2009 and 6.5 million in 2004.    ",Children in an afterschool program,Children in an afterschool program,p_of_children_in_programs_,children_in_afterschool,p_of_children_in_programs_,children_in_afterschool,
p_of_children_in_programs_2009,8.4 million children are in an afterschool program (2009),% of children in afterschool programs- 2009,9,28,1,1,percent,demand,children_in_afterschool,none,,yes,yes,none,,"Participation in afterschool programs has steadily increased over the past decade. In 2014, 10.2 million children are in afterschool programs, up from 8.4 million in 2009 and 6.5 million in 2005",Children in an afterschool program,Children in an afterschool program,none,children_in_afterschool,none,children_in_afterschool,
p_of_children_in_programs_2004,6.5 million children are in an afterschool program (2004),% of children in afterschool programs- 2004,5,35,1,1,percent,demand,children_in_afterschool,none,,yes,yes,none,,"Participation in afterschool programs has steadily increased over the past decade. In 2014, 10.2 million children are in afterschool programs, up from 8.4 million in 2009 and 6.5 million in 2006",Children in an afterschool program,Children in an afterschool program,none,children_in_afterschool,none,,
avg_hr_per_week_in_programs,Children spend <%= value %> hours in afterschool programs per week ,Average hours per week in afterschool programs,4.36,9.64,3,4,hours,demand,children_in_afterschool,avg_hr_per_week_in_programs,,yes,yes,avg_hr_per_week_in_programs,,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",Average time per week children spend in an afterschool program,Average time per week children spend in an afterschool program,none,children_in_afterschool,none,,
avg_day_per_week_in_programs,Children spend <%= value %> days in afterschool programs per week,Average days per week in afterschool programs,2.58,4.4,3,4,days,demand,children_in_afterschool,none,,yes,yes,none,,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",Average time per week children spend in an afterschool program,Average time per week children spend in an afterschool program,none,children_in_afterschool,none,,
p_of_children_would_be_enrolled_2014,19.4 million children would participate if an afterschool program were available (2014),% of children who would be enrolled in a program if one were available to them-2014,19.7,65.9,1,2,percent,demand,unmet_demand,p_of_children_would_be_enrolled_,,yes,yes,p_of_children_would_be_enrolled_,,The unmet demand for afterschool &mdash; parents who want to enroll their child in a program but say they don’t have one available &mdash; has increased over the last decade. The parents of a projected 19.4 million children now say they would enroll their child in a program if one were available to them.,Children who would be enrolled in an afterschool program,Children who would be enrolled in an afterschool program,p_of_children_would_be_enrolled_,children_in_afterschool,p_of_children_would_be_enrolled_,children_in_afterschool,Non-participant Q3c.
p_of_children_would_be_enrolled_2009,18.5 million children would participate if an afterschool program were available (2009),% of children who would be enrolled in a program if one were available to them-2009,25,57,1,2,percent,demand,unmet_demand,none,,yes,yes,none,,The unmet demand for afterschool &mdash; parents who want to enroll their child in a program but say they don’t have one available &mdash; has increased over the last decade. The parents of a projected 19.4 million children now say they would enroll their child in a program if one were available to them.,Children who would be enrolled in an afterschool program,Children who would be enrolled in an afterschool program,none,children_in_afterschool,none,,
p_of_children_would_be_enrolled_2004,15.3 million children would participate if an afterschool program were available (2004),% of children who would be enrolled in a program if one were available to them-2004,20,43,1,2,percent,demand,unmet_demand,none,,yes,yes,none,,The unmet demand for afterschool &mdash; parents who want to enroll their child in a program but say they don’t have one available &mdash; has increased over the last decade. The parents of a projected 19.4 million children now say they would enroll their child in a program if one were available to them.,Children who would be enrolled in an afterschool program,Children who would be enrolled in an afterschool program,none,children_in_afterschool,none,,
p_of_children_alone_2014,11.3 million children are unsupervised after school (2014),% of children who are alone and unsupervised after school-2014,13.3,27.1,3,3,percent,demand,unmet_demand,p_of_children_alone_,,yes,yes,p_of_children_alone_,,"The number of children alone and unsupervised in the hours after school has decreased, but 1 in 5 children still don’t have someone to care for them after school. ",Children unsupervised after school,Children unsupervised after school,p_of_children_alone_,children_in_afterschool,none,,
p_of_children_alone_2009,15.1 million children are unsupervised after school (2009),% of children who are alone and unsupervised after school-2009,21,41,3,3,percent,demand,unmet_demand,none,,yes,yes,none,,"The number of children alone and unsupervised in the hours after school has decreased, but 1 in 5 children still don’t have someone to care for them after school. ",Children unsupervised after school,Children unsupervised after school,none,children_in_afterschool,none,,
p_of_children_alone_2004,14.3 million children are unsupervised after school (2004),% of children who are alone and unsupervised after school-2004,15,35,3,3,percent,demand,unmet_demand,none,,yes,yes,none,,"The number of children alone and unsupervised in the hours after school has decreased, but 1 in 5 children still don’t have someone to care for them after school. ",Children unsupervised after school,Children unsupervised after school,none,children_in_afterschool,none,,
avg_hr_per_week_alone,Children spend <%= value %> hours alone or unsupervised after school on average per week,Average hours alone and unsupervised per week,5.64,9.43,6,5,hours,demand,unmet_demand,avg_hr_per_week_alone,,yes,yes,avg_hr_per_week_alone,,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m.",Average time per week children spend alone & unsupervised after school,Average time per week children spend alone & unsupervised after school,none,children_in_afterschool,none,,
reason_1_not_enrolling_child,,"After lack of need, top reason for not enrolling child in an afterschool program ",,,9001,5,text,demand,unmet_demand,WASreason_1_not_enrolling_child,,yes,yes,none,,,Parents’ reasons for not enrolling their child in an afterschool program,Parents’ reasons for not enrolling their child in an afterschool program,none,children_in_afterschool,none,,"Non-participant Q3b. (Here, we classified two answers under ""Preference for alternative activities,"" which is why some states have only two reasons for not enrolling their child in an afterschool program)"
reason_2_not_enrolling_child,,"After lack of need, 2nd top reason for enrolling child in an afterschool program",,,9001,5,text,demand,,none,,yes,yes,none,,,Parents’ reasons for not enrolling their child in an afterschool program,Parents’ reasons for not enrolling their child in an afterschool program,none,,none,,Non-participant Q3b.
reason_3_not_enrolling_child,,"After lack of need, 3rd top reason for not enrolling child in an afterschool program  ",,,9001,5,text,demand,,none,,yes,yes,none,,,Parents’ reasons for not enrolling their child in an afterschool program,Parents’ reasons for not enrolling their child in an afterschool program,none,,none,,Non-participant Q3b.
ans_1_type_activity,,Top answer for type of activity afterschool program offers,,,4,9001,text,benefits,parent_satisfaction,ans_1_type_activity,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,"Participant Q3g. - Here, we classifed two answers under ""Prefer"
p_for_ans_1_type_activity,,% for top answer for type of activity afterschool program offers,72.1,97.6,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,Participant Q3g.
ans_2_type_activity,,Second top answer for type of activity afterschool program offers,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,Participant Q3g.
p_for_ans_2_type_activity,,% for second top answer for type of activity afterschool program offers,55.9,90.1,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,Participant Q3g.
ans_3_type_activity,,Third top answer for type of activity afterschool program offers,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,Participant Q3g.
p_for_ans_3_type_activity,,% for third top answer for type of activity afterschool program offers,52.7,88.3,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,Participant Q3g.
ans_4_type_activity,,% for third top answer for type of activity afterschool program offers,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,
p_for_ans_4_type_activity,,% for third top answer for type of activity afterschool program offers,45.9,85.7,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,
ans_5_type_activity,,% for third top answer for type of activity afterschool program offers,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,
p_for_ans_5_type_activity,,% for third top answer for type of activity afterschool program offers,43.8,83.1,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 activities/services offered by afterschool programs,Top 5 activities/services offered by afterschool programs,none,parent_satisfaction,none,,
p_of_parents_programs_excite_abt_learning,<%= value %>% of parents agree that afterschool programs excite children about learning,% of parents agree that afterschool programs can help excite children about learning,52.2,76.6,8,6,percent,benefits,parent_satisfaction,p_of_parents_programs_excite_abt_learning,,yes,yes,p_of_parents_programs_excite_abt_learning,,,,Parents agree that afterschool programs excite children about learning,none,parent_satisfaction,none,,All Q5.
p_of_parents_programs_help_child_gain_skills,<%= value %>% of parents agree that afterschool programs can help children <br />gain workforce skills,"% of parents agree that afterschool programs help children gain workforce skills, such as teamwork, leadership and critical thinking ",49.4,74.2,5,5,percent,benefits,parent_satisfaction,p_of_parents_programs_help_child_gain_skills,,yes,yes,p_of_parents_programs_help_child_gain_skills,,"More than 2 in 3 parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking.",,"Parents agree that afterschool programs can help children gain workforce skills (such as teamwork, leadership, and critical thinking)",none,parent_satisfaction,none,,All Q5.
p_of_parents_programs_reduce_risky,<%= value %>% of parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,"% of parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, use drugs or become a teen parent",58.5,79.5,7,4,percent,benefits,parent_satisfaction,p_of_parents_programs_reduce_risky,,yes,yes,p_of_parents_programs_reduce_risky,,"Nearly 3 in 4 parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity.",,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,none,parent_satisfaction,none,,All Q5.
p_of_parents_support_public_funding_2014,<%= value %>% of parents support public funding for afterschool programs (2014),% of parents support public funding for afterschool programs,70.5,93.4,1,1,percent,support,public_support,p_of_parents_support_public_funding_,,yes,yes,p_of_parents_support_public_funding_,,"More than 5 in 6 parents report that they favor public funding for afterschool opportunities in communities where children and youth have few opportunities, up slightly from 83 percent in 2009. In 2014, just 20 percent of parents receive public funding to help pay for an afterschool program.",Parents support public funding for afterschool programs,Parents support public funding for afterschool programs,p_of_parents_support_public_funding_,public_support,none,,All Q8a.
p_of_parents_support_public_funding_2009,<%= value %>% of parents support public funding for afterschool programs (2009),2009- % of parents that support public funding for afterschool programs,68,91,1,1,percent,support,public_support,none,,no,no,none,,"More than 5 in 6 parents report that they favor public funding for afterschool opportunities in communities where children and youth have few opportunities, up slightly from 83 percent in 2010",Parents support public funding for afterschool programs,Parents support public funding for afterschool programs,none,public_support,none,,
p_of_parents_receive_public_funding,<%= value %>% of parents receive public funding to help pay for afterschool programs,% of parents that receive public funding to help pay for afterschool,2.3,45.2,9001,6,percent,support,public_support,WASp_of_parents_receive_public_funding,,yes,yes,none,,,Parents receive public funding to help pay for an afterschool program,Parents receive public funding to help pay for an afterschool program,none,public_support,none,,Participant Q3e.
p_of_parents_satisfied_child_program_2014,<%= value %>% of parents satisfied with their child's afterschool program (2014),% of parents satisfied with their in their child's primary afterschool program overall-2014,66.8,97.2,1,1,percent,benefits,parent_satisfaction,p_of_parents_satisfied_child_program_,,yes,yes,p_of_parents_satisfied_child_program_,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
p_of_parents_satisfied_child_program_2009,<%= value %>% of parents satisfied with their child's afterschool program (2009),2009- % of parents satisfied with afterschool program overall,62,100,1,1,percent,benefits,parent_satisfaction,none,,yes,yes,none,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,
p_of_parents_satisfied_child_program_2004,<%= value %>% of parents satisfied with their child's afterschool program (2004),2004- % of parents satisfied with afterschool program overall,58,100,1,1,percent,benefits,parent_satisfaction,none,,yes,yes,none,,"Parents’ overall satisfaction with their child’s afterschool program has been high over the past decade, where approximately 9 in 10 parents surveyed in 2004, 2009 and 2014 report that they are satisfied.  ",Parents satisfied with their child’s afterschool program,Parents satisfied with their child’s afterschool program,none,parent_satisfaction,none,,
p_of_parents_satisfied_program_safe,<%= value %>% of parents satisfied with safety of their child's afterschool program,% of parents satisfied with their child's primary afterschool program's safe environment,67.7,95.2,3,3,percent,benefits,parent_satisfaction,p_of_parents_satisfied_program_safe,,yes,yes,p_of_parents_satisfied_program_safe,,,,Parents satisfied with the safe environment of their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
p_of_parents_satisfied_program_quality_of_care,<%= value %>% of parents satisfied with quality of their child's afterschool program,% of parents satisfied with the quality of care in their child's primary afterschool program,64.6,95.7,2,2,percent,benefits,parent_satisfaction,p_of_parents_satisfied_program_quality_of_care,,yes,yes,p_of_parents_satisfied_program_quality_of_care,,,,Parents satisfied with the quality of care of their child’s afterschool program,none,parent_satisfaction,none,,Participant Q3l.
ans_1_select_program,,Top answer for selecting an afterschool program,,,6,9001,text,benefits,parent_satisfaction,ans_1_select_program,,yes,yes,ans_1_select_program,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_1_select_program,,% for top answer for selecting an afterschool program,67.9,96.3,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_2_select_program,,Second top answer for selecting an afterschool program,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_2_select_program,,% for second top answer for selecting an afterschool program,67.8,90.5,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_3_select_program,,Third top answer for selecting an afterschool program,,,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_3_select_program,,% for third top answer for selecting an afterschool program,67.6,90.1,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_4_select_program,,% for third top answer for selecting an afterschool program,,,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_4_select_program,,% for third top answer for selecting an afterschool program,52.1,88,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
ans_5_select_program,,% for third top answer for selecting an afterschool program,,,9001,9001,percent,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_for_ans_5_select_program,,% for third top answer for selecting an afterschool program,52,87.9,9001,9001,text,benefits,parent_satisfaction,none,,yes,yes,none,,,Top 5 factors in parents’ selection of an afterschool program,Top 5 factors in parents’ selection of an afterschool program,none,parent_satisfaction,none,,Participant Q3m.
p_of_parents_program_public_school_bldg,<%= value %>% children in afterschool in 2004 ,% of parents whose child's afterschool program is located in a public school building,45.8,87.5,7,9001,percent,benefits,parent_satisfaction,p_of_parents_program_public_school_bldg,,yes,yes,p_of_parents_program_public_school_bldg,,,,% Parents whose childrens’ afterschool program is in a public school building,none,parent_satisfaction,none,,Participant Q3b.
ans_1_program_provider,,Top answer for provider of afterschool program,,,9,9001,text,benefits,parent_satisfaction,ans_1_program_provider,,yes,yes,ans_1_program_provider,,,Most common afterschool program providers,Most common afterschool program providers,none,parent_satisfaction,none,,Participant Q3a.
ans_2_program_provider,,Second top answer for provider of afterschool program,,,9001,5,text,demand,children_in_afterschool,none,,yes,yes,none,,,Most common afterschool program providers,Most common afterschool program providers,none,children_in_afterschool,none,,Participant Q3a.
ans_3_program_provider,,Third top answer for provider of afterschool program,,,9001,5,text,demand,children_in_afterschool,none,,yes,yes,none,,,Most common afterschool program providers,Most common afterschool program providers,none,children_in_afterschool,none,,Participant Q3a.
