column 1,column 2,blank,state
State Intro,Nikki will provide (different for each),,AL
,DEMAND – Children in Afterschool,,AL
Card 1,Afterschool program participation in Alabama,,AL
"Card 1 Info
 
 
 New - Card 2
 New – Card 2","In 2014, 13% of Alabama’s children participate in an afterschool program, compared to 15% in 2009 and 10% in 2004.
 
 Average time per week children spend in an afterschool program
 
 For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",,AL
"Card 3
 Card 3 Info","Children in an afterschool program, by grade
 In 2014, 18% of Alabama’s children in grades K-5 participate in an afterschool program, compared to 12% in grades 6-8 and 8% in grades 9-12.
 Card 4
 Children in an afterschool program, by gender
 Card 5
 Card 5 Info
 Average weekly cost of afterschool programs
 The average weekly cost only includes parents who report that they pay a fee for their child’s afterschool program.
 TEXT CARD
 Most families piece together a variety of afterschool solutions, with 69% of Alabama’s K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (7%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (29%).
 
 DEMAND – Unmet Demand for Afterschool Programs",,AL
"Card 1
 Card 1 - Info
 
 Card 2","Children who would participate if an afterschool program were available
 In 2014, 41% of Alabama’s children would participate in an afterschool program if one were available, compared to 36% in 2009 and 29% in 2004.
 
 Children unsupervised after school",,AL
"Card 2 – Info
 
 Card 3
 Card 3 -Info","In 2014, 19% of Alabama’s children are alone and unsupervised between the hours of 3 and 6 p.m.
 
 Average time per week children spend alone & unsupervised after school
 For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m.",,AL
Card 4,"Children unsupervised after school, by grade",,AL
Card 4 - Info,"In 2014, 2% of Alabama’s children in grades K-5 were unsupervised after school, compared to 12% in grades 6-8 and 32% in grades 9-12.",,AL
TEXT CARD TITLE,What barriers to afterschool program enrollment are Alabama families facing?,,AL
TEXT CARD INFO,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include:
 Preference for alternative activities
 Afterschool programs would not benefit their child
 
 
 BENEFITS – Parent Satisfaction with Afterschool Programs",,AL
Card 1,Parents satisfied with their child’s afterschool program,,AL
Card 1 –Info,"In 2014, 94% of Alabama’s parents are satisfied with their child’s afterschool program, compared to 93% in 2009 and 90% in 2004.
 Card 2
 Top 5 factors in parents’ selection of an afterschool program",,AL
Card 2 – Info,"Location is convenient
 The hours meet parents' needs
 Quality of care
 Their child enjoys the afterschool program
 Is a safe haven
 Card 3
 Card 3 – Info
 
 
 
 
 Card 4
 Top 5 activities/services offered by afterschool programs
 Opportunities for physical activity
 Homework assistance
 Opportunities for reading or writing
 Beverages, snacks and/or meals
 STEM learning opportunities
 
 Parents satisfied with the safe environment of their child’s afterschool program",,AL
,,,AL
Card 5,Parents satisfied with the quality of care in their child’s afterschool program,,AL
,,,AL
Card 6,Most common afterschool program providers,,AL
"Card 6 – TEXT
 
 
 Card 6","1. Afterschool programs run by a public school
 2. Afterschool programs run by a religious organization
 3. Boys & Girls Club afterschool programs
 
 of afterschool programs are located in a public school building
 
 
 SUPPORT – Public Support for Afterschool Programs",,AL
Card 1,Parents agree that afterschool programs excite children about learning,,AL
,,,AL
Card 2,Parents agree that afterschool programs help children gain workforce skills,,AL
Card 2 – Info,"65% Alabama parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking.",,AL
Card 3,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,,AL
Card 3 – Info,"62% Alabama parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity.",,AL
,,,AL
Card 4 – Info,of Alabama parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.,,AL
Card 5 – Info,"of Alabama parents support public funding for afterschool programs, while just 8% report receiving government assistance with the cost of afterschool.",,AL
FOOTNOTE,"In Alabama, 203 households and 793 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Alabama is 783,343, which is the foundation for all statewide projections in Alabama After 3PM.",,AL
State Intro,Nikki will provide (different for each),,AK
,DEMAND – Children in Afterschool,,AK
Card 1,Afterschool program participation in Alaska,,AK
"Card 1 Info
 
 
 New - Card 2
 New – Card 2","In 2014, 19% of Alaska’s children participate in an afterschool program, compared to 18% in 2009 and 21% in 2004.
 
 Average time per week children spend in an afterschool program
 
 For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",,AK
"Card 3
 Card 3 Info","Children in an afterschool program, by grade
 In 2014, 20% of Alaska’s children in grades K-5 participate in an afterschool program, compared to 23% in grades 6-8 and 19% in grades 9-12.
 Card 4
 Children in an afterschool program, by gender
 Card 5
 Card 5 Info
 Average weekly cost of afterschool programs
 The average weekly cost only includes parents who report that they pay a fee for their child’s afterschool program.
 TEXT CARD
 Most families piece together a variety of afterschool solutions, with 70% of Alaska’s K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (11%); sibling care (16%); and non-parental adult care, such as a grandparent or neighbor (31%).
 
 DEMAND – Unmet Demand for Afterschool Programs",,AK
"Card 1
 Card 1 - Info
 
 Card 2","Children who would participate if an afterschool program were available
 In 2014, 43% of Alaska’s children would participate in an afterschool program if one were available, compared to 35% in 2009 and 31% in 2004.
 
 Children unsupervised after school",,AK
"Card 2 – Info
 
 Card 3
 Card 3 -Info","In 2014, 24% of Alaska’s children are alone and unsupervised between the hours of 3 and 6 p.m.
 
 Average time per week children spend alone & unsupervised after school
 For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m.",,AK
Card 4,"Children unsupervised after school, by grade",,AK
Card 4 - Info,"In 2014, 5% of Alaska’s children in grades K-5 were unsupervised after school, compared to 32% in grades 6-8 and 46% in grades 9-12.",,AK
TEXT CARD TITLE,What barriers to afterschool program enrollment are Alaska families facing?,,AK
TEXT CARD INFO,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include:
 Preference for alternative activities
 Lack of a safe way for child to get to and come home from afterschool programs
 
 
 BENEFITS – Parent Satisfaction with Afterschool Programs",,AK
Card 1,Parents satisfied with their child’s afterschool program,,AK
Card 1 –Info,"In 2014, 91% of Alaska’s parents are satisfied with their child’s afterschool program, compared to 95% in 2009 and 58% in 2004.
 Card 2
 Top 5 factors in parents’ selection of an afterschool program",,AK
Card 2 – Info,"Is a safe haven
 Quality of care
 The hours meet parents' needs
 Knowledgeable and well-trained staff
 Location is convenient
 Card 3
 Card 3 – Info
 
 
 
 
 Card 4
 Top 5 activities/services offered by afterschool programs
 Opportunities for physical activity
 Homework assistance
 Music or art
 STEM learning opportunities
 Academic programs/clubs
 
 Parents satisfied with the safe environment of their child’s afterschool program",,AK
,,,AK
Card 5,Parents satisfied with the quality of care in their child’s afterschool program,,AK
,,,AK
Card 6,Most common afterschool program providers,,AK
"Card 6 – TEXT
 
 
 Card 6","1. Afterschool programs run by a public school
 2. Afterschool programs run by a city or town (including Parks and Recreation Department)
 3. Boys & Girls Club afterschool programs
 
 of afterschool programs are located in a public school building
 
 
 SUPPORT – Public Support for Afterschool Programs",,AK
Card 1,Parents agree that afterschool programs excite children about learning,,AK
,,,AK
Card 2,Parents agree that afterschool programs help children gain workforce skills,,AK
Card 2 – Info,"67% Alaska parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking.",,AK
Card 3,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors,,AK
Card 3 – Info,"67% Alaska parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity.",,AK
,,,AK
Card 4 – Info,of Alaska parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.,,AK
Card 5 – Info,"of Alaska parents support public funding for afterschool programs, while just 17% report receiving government assistance with the cost of afterschool.",,AK
FOOTNOTE,"In Alaska, 207 households and 449 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Alaska is 132,121, which is the foundation for all statewide projections in Alaska After 3PM.",,AK